model,dirname,level,r,ci_lo,ci_hi,ci_width
1B inst L,llama1b_instruct_v3,subscale,0.4931224469289505,0.4270931191547497,0.5395389850397717,0.112445865885022
1B inst L,llama1b_instruct_v3,scale,0.5309804362664988,0.4364206548938416,0.6034094016072947,0.1669887467134531
3B base Q,qwen3b_base_v2,item,0.5924712278881815,0.5450985778011564,0.6002535885044715,0.055155010703315
3B base Q,qwen3b_base_v2,item_within,0.998383487685676,0.9972611398172676,0.9984851141145932,0.0012239742973256
3B base Q,qwen3b_base_v2,item_between,0.3375387636910256,0.2688059995695752,0.3618199609246686,0.0930139613550934
3B base Q,qwen3b_base_v2,subscale,0.5692799307238003,0.4935228043257597,0.6252132740239178,0.131690469698158
3B base Q,qwen3b_base_v2,scale,0.6687948124858115,0.5641064958638181,0.7296975344131676,0.1655910385493495
3B inst Q,qwen3b_instruct_v3,item,0.626458706809987,0.5772025594790109,0.630605508448703,0.0534029489696921
3B inst Q,qwen3b_instruct_v3,item_within,0.9916301386163938,0.9880839012785532,0.9930512474766652,0.004967346198112
3B inst Q,qwen3b_instruct_v3,item_between,0.3976558935466745,0.328606011921431,0.4120623812550669,0.0834563693336358
3B inst Q,qwen3b_instruct_v3,subscale,0.5548275537732119,0.4905117518865935,0.6024275601319595,0.1119158082453659
3B inst Q,qwen3b_instruct_v3,scale,0.4411900753226838,0.362105581700564,0.512845522832272,0.150739941131708
3B base L,llama3b_base_v2,item,0.6163789211957195,0.5664210818856426,0.6138551107941709,0.0474340289085283
3B base L,llama3b_base_v2,item_within,0.9979217372708012,0.9963586451815166,0.9979878268426826,0.0016291816611659
3B base L,llama3b_base_v2,item_between,0.4345389628906744,0.3658584342237057,0.4379676172019897,0.0721091829782839
3B base L,llama3b_base_v2,subscale,0.5980564221122053,0.5368914592740178,0.6255175710872571,0.0886261118132393
3B base L,llama3b_base_v2,scale,0.8001368981927252,0.7380109115692537,0.8335315718500634,0.0955206602808097
3B inst L,llama3b_instruct_v3,item,0.5815982030343333,0.5280196971302195,0.5855564624848654,0.0575367653546459
3B inst L,llama3b_instruct_v3,item_within,0.9731613489921512,0.9629876596797964,0.979871771568639,0.0168841118888425
3B inst L,llama3b_instruct_v3,item_between,0.4515442477384647,0.3797665134553059,0.4588897340267718,0.0791232205714659
3B inst L,llama3b_instruct_v3,subscale,0.6420033448393223,0.5822550099414715,0.6735476304160709,0.0912926204745994
