cut,n_subscales,n_pairs,dirname,size,type,family,raw_r,raw_slope,raw_intercept,corrected_r,corrected_slope,corrected_intercept
alpha >= 0.70,9,36,llama1b_instruct_v3,1.0,instruct,Llama,0.5350308212092407,0.5120728047528398,0.1721589875159885,0.5313553829580214,0.4272305677719346,0.16895071331612546
alpha >= 0.70,9,36,qwen3b_base_v2,3.0,base,Qwen,0.5698322967329854,0.5518868212468111,0.13540668092175842,0.5591253464598338,0.4549215038389396,0.1322078116604687
alpha >= 0.70,9,36,qwen3b_instruct_v3,3.0,instruct,Qwen,0.5034236531119476,0.5461149430625547,0.1525700323990882,0.49604998980767656,0.45206429933830306,0.14931560007852254
alpha >= 0.70,9,36,llama3b_base_v2,3.0,base,Llama,0.7385356486668176,0.8123962652930828,0.12654719502854925,0.7248419925540405,0.6698292729816091,0.12183042194063347
alpha >= 0.70,9,36,llama3b_instruct_v3,3.0,instruct,Llama,0.7411406839326644,0.8305433115588174,0.17662969001186654,0.7181991966741114,0.6761310320413844,0.17221320138747065
alpha >= 0.70,9,36,qwen7b_base_v2,7.0,base,Qwen,0.6414765810184674,0.9843990281902039,0.17467371196025797,0.6199758461010085,0.7992625479910735,0.16953836734600639
alpha >= 0.70,9,36,qwen7b_instruct_v3,7.0,instruct,Qwen,0.7618391526937577,1.2678259120202409,0.08547916864779403,0.7505567720664207,1.049310952493131,0.07793198421272267
alpha >= 0.70,9,36,llama8b_base_v2,8.0,base,Llama,0.7455632175829013,1.0160159248393843,0.18858110618185675,0.7249778974521768,0.8299752277873513,0.18304466931898755
alpha >= 0.70,9,36,llama8b_instruct_v3,8.0,instruct,Llama,0.7833862356176212,1.2588153660731567,-0.02696021585525524,0.7717738152954761,1.0418386421887593,-0.03445307008240769
alpha >= 0.70,9,36,qwen14b_base_v2,14.0,base,Qwen,0.6986359024398987,1.0724599765122653,0.19265139416714938,0.679390584198677,0.8761410722921699,0.18680470751372677
alpha >= 0.70,9,36,qwen14b_instruct_v3,14.0,instruct,Qwen,0.7595454180715104,1.2558269171401717,0.07564673397758341,0.7482540384394099,1.0393203511820597,0.06817377319775154
alpha >= 0.80,5,10,qwen05b_base_v2,0.5,base,Qwen,0.4272686900159087,0.2395989732820142,0.20345202645604546,0.41721393386190847,0.20698134259699524,0.2029589566191994
alpha >= 0.80,5,10,qwen05b_instruct_v3,0.5,instruct,Qwen,0.9292953754240009,0.6626547964309627,0.03958214692392975,0.926661072239463,0.5845787187117714,0.03895355539041617
alpha >= 0.80,5,8,llama1b_base_v2,1.0,base,Llama,0.9095723712203211,0.5946993985530894,0.41908525011489245,0.9060622392502401,0.5255962443915998,0.4176950169109017
alpha >= 0.80,5,10,llama1b_instruct_v3,1.0,instruct,Llama,0.7489868301435357,0.5766856126156206,0.004120623072463228,0.7583685048946253,0.5165754176951778,0.004048335854152651
alpha >= 0.80,5,10,qwen3b_base_v2,3.0,base,Qwen,0.8965840010313693,0.7530423054982189,0.17243871473272157,0.8991402299250892,0.668104399863355,0.1719538565243482
alpha >= 0.80,5,10,qwen3b_instruct_v3,3.0,instruct,Qwen,0.8142057572504837,0.7279743645650694,0.1573146087523417,0.8180675579953055,0.6470824171914971,0.15691970671800956
alpha >= 0.80,5,10,llama3b_base_v2,3.0,base,Llama,0.8989504409678073,0.9137819768075318,0.026684926440158407,0.898014885387804,0.8075675980862611,0.025905976663813245
alpha >= 0.80,5,10,llama3b_instruct_v3,3.0,instruct,Llama,0.9590781756615737,1.2043796953421475,0.07455127147145418,0.9610929095425116,1.0677345641928726,0.07372737677538088
alpha >= 0.80,5,10,qwen7b_base_v2,7.0,base,Qwen,0.9740971693692407,1.4809545512635482,0.07562750695537296,0.9745002735304109,1.310720000974207,0.07448052250098755
alpha >= 0.80,5,10,qwen7b_instruct_v3,7.0,instruct,Qwen,0.9766914524561542,1.537852446456533,0.03312921057877992,0.9764388070411475,1.3601625848387042,0.031882731340386966
alpha >= 0.80,5,10,llama8b_base_v2,8.0,base,Llama,0.955853424404271,1.3812326063837552,0.07223615236242428,0.9545167862633006,1.2202465933866296,0.07103225032229064
alpha >= 0.80,5,10,llama8b_instruct_v3,8.0,instruct,Llama,0.9459897611214885,1.4091942565188764,-0.12550802432112088,0.9416498970913684,1.2409732031819831,-0.12697716964131134
alpha >= 0.80,5,10,qwen14b_base_v2,14.0,base,Qwen,0.9851682765379575,1.5005277738987333,0.04546410146963982,0.9859204927147207,1.3285075449945678,0.04433008221736474
alpha >= 0.80,5,10,qwen14b_instruct_v3,14.0,instruct,Qwen,0.9715629505398165,1.4897873482599295,0.0015353239484973292,0.9723543868363943,1.319065696913756,0.0004134986487698489
