,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
IRI_Q27,0.24735123220943048,0.036807421129886136,0.035529570358903924,0.1565863933493629,-0.007632377483846971,-0.07334428606347777,0.2972938079130541,0.12365557208583934,-0.02996773325767042,0.05044979046349461,IRI
IRI_Q28,0.027514526239334293,0.03678253638926524,-0.02936174293265764,0.1457333511876186,-0.08613229416741777,0.1560055433831608,0.1619125857942797,0.0787518241170162,0.1100408521038304,0.41610643090056,IRI
PANAS_Q1,0.0725804611357758,-0.04927176895938967,-0.06230226196275346,-0.018638191982841126,0.25611588202204294,0.3317284006007721,-0.14782953955207742,0.1585168732734105,0.3883521311894849,0.07951382279499916,PANAS
PANAS_Q2,0.4553706006288276,0.10140804998221616,-0.18537771738214776,-0.03555409218722199,0.008204299181084384,0.1458925710858369,0.2348962015355589,0.15579556034231873,-0.046975703883630024,-0.1477105997856455,PANAS
PANAS_Q3,0.1766437110781122,-0.05203492073530221,-0.03467674254855682,0.1261026926275774,0.3892803475418431,0.3050941325502446,-0.07067359379745389,0.1431112655758285,0.34136904039091415,-0.03424914773285636,PANAS
PANAS_Q4,0.5113808717444502,0.025639739152510985,-0.287336256712309,-0.1430321788103401,0.016995392558827458,0.09589295319535455,0.13976824581504382,0.07707370879609977,0.05107380451632181,-0.08903988668693476,PANAS
PANAS_Q5,-0.23719644949818,0.04214834520448533,0.03144611054793758,0.056187935042621005,0.10818042763593179,0.5886355725006065,0.11814295590977424,-0.02883389418055185,0.04653292259966686,-0.004083316353150394,PANAS
PANAS_Q6,0.4127108212873144,0.049147810720087344,-0.0520663436612372,0.21312442968103362,-0.010587840585832326,0.06040954239769481,0.21748111650052887,0.024457898967319074,0.12493383888039365,-0.14967049382308664,PANAS
PANAS_Q7,0.48468042532521133,-0.032649408230356274,-0.029291178849063633,-0.03126063181927607,0.05021586597513232,0.06975607146553857,0.07863082743366814,0.011899328586817765,0.11029338814052057,-0.13742225829518237,PANAS
PANAS_Q8,0.26421895012389435,0.13187805923695087,-0.041396080314944246,-0.117038354120723,0.049686947687393325,0.17375753394557372,-0.11249298227183108,0.006578089690909283,0.014683704662748449,-0.15584320359545054,PANAS
PANAS_Q9,0.12307667965912969,-0.06411742953701205,0.13346136054733193,0.13290096044381797,0.2307453087949751,0.3349151688627964,-0.024956132528994656,0.024563766658314022,0.29036081294397803,0.05703603705357688,PANAS
PANAS_Q10,0.08489549940318332,-0.0546134298856257,0.18942262371540092,-0.11951395315692082,0.20199641367571913,0.26559268818258097,-0.1005733768886834,0.043578708536144976,0.1321200577047524,-0.21018626023464773,PANAS
PANAS_Q11,0.6690055290984692,-0.034777405082768116,-0.08445149604903293,-0.08106344587789255,0.10243589125285858,-0.0871592073315761,-0.0020315593486093016,-0.12706476698400723,0.11197288107426104,-0.024643057579471807,PANAS
PANAS_Q12,0.09195969883686615,-0.032471256232134635,-0.00549182494345088,-0.14459780644315257,-0.06891134785315461,0.5825485861272024,-0.01636144617227832,-0.0459316139453158,-0.038096447257013936,-0.07864018396182385,PANAS
PANAS_Q13,0.4123665611201183,0.0956190419288148,-0.09887907486933956,0.14872270048886163,-0.13435754131501407,0.058746542991423734,0.02644715302165765,0.06548979910574393,0.15790438952438318,-0.09633944731139132,PANAS
PANAS_Q14,0.08028006720590239,-0.1059384950788368,0.14552708485896265,0.20552312450556562,0.14567879464945602,0.2917778229367381,0.06963382671948333,0.060953943456537554,0.20217329836682715,0.11850598633483564,PANAS
PANAS_Q15,0.699235350430396,0.03492500567898374,-0.04792328142232631,0.06786491065511197,-0.11335532248749214,-0.02418341573752501,-0.037970130431694386,-0.05443380074294219,-0.01456001531053781,0.09682871161650625,PANAS
PANAS_Q16,0.005016610284083394,-0.10139540877680131,0.13473668824624452,-0.237010546903773,0.010320195900641854,0.4659208785809242,-0.06305070849963104,-0.13801654061981436,-0.07893504458188355,-0.04817410220579249,PANAS
PANAS_Q17,-0.09196372010646824,0.024793005294722666,0.12301568689333305,0.04690405466545174,-0.02251460261516647,0.5140138478563455,-0.06956106629889096,0.0653009715094236,0.09349579215118221,0.10450839659593956,PANAS
PANAS_Q18,0.7889571221980476,0.0032200233273943697,-0.025253204003246734,0.032888815603068174,-0.0972133585427454,0.03628584119038627,-0.05420876707462051,0.046785044354071006,-0.04099355148276645,0.03105357572584147,PANAS
PANAS_Q19,0.0912752591125956,0.010623762271198435,0.09759594281673666,0.05248986739345513,0.29500095032991325,0.48269650541617304,-0.02102597332691753,-0.04981872417945249,0.2341696229243919,0.1398113357243713,PANAS
PANAS_Q20,0.6981789438125517,0.001131276317690479,0.046452132949424345,-0.041051558671537265,-0.1041956540515561,0.1529122841398452,0.08522795292203109,0.04070156071826489,-0.09823453136188807,-0.026589834362260853,PANAS
