model,hf_id,size_B,family,is_instruct,embedding,n,n_pairs,r_TH,p_TH,r_ST,p_ST,r_SH,p_SH,r_partial,p_partial,drop_TH_to_partial,best_layer
llama3b_instruct_v3,meta-llama/Llama-3.2-3B-Instruct,3.0,Llama,True,model_internal,16,120,-0.05250248203936974,0.5690107791711141,0.00313531767635461,0.9728880983968373,0.08508763095353794,0.3554814818697867,-0.05296158484884441,0.5656322272848081,0.00045910280947467075,14
llama3b_instruct_v3,meta-llama/Llama-3.2-3B-Instruct,3.0,Llama,True,e5,16,120,-0.05250248203936974,0.5690107791711141,0.0029640652861360924,0.9743684445037556,0.16532556275549712,0.07114768080112271,-0.053732156254050006,0.5599830462452462,0.0012296742146802667,14
qwen7b_base_v2,Qwen/Qwen2.5-7B,7.0,Qwen,False,model_internal,16,120,0.0074969335304551354,0.9352301473516683,0.24275955591456005,0.0075501829234396875,0.07507307066757785,0.41511391832408623,-0.011089867700264933,0.9043124044276775,0.018586801230720068,14
qwen7b_base_v2,Qwen/Qwen2.5-7B,7.0,Qwen,False,e5,16,120,0.0074969335304551354,0.9352301473516683,0.1597191901122837,0.08141619531381959,0.16532556275549712,0.07114768080112271,-0.019421892966566587,0.833239112633104,0.026918826497021722,14
qwen7b_instruct_v3,Qwen/Qwen2.5-7B-Instruct,7.0,Qwen,True,model_internal,16,120,0.42008869080309263,1.7830617360577207e-06,0.08144989418306185,0.3764962703141061,0.07509384683272013,0.41498446283348067,0.41652841906615423,2.22368602338444e-06,0.003560271736938403,20
qwen7b_instruct_v3,Qwen/Qwen2.5-7B-Instruct,7.0,Qwen,True,e5,16,120,0.42008869080309263,1.7830617360577207e-06,0.14542511465901045,0.11300833491470169,0.16532556275549712,0.07114768080112271,0.405887097717164,4.239069306427601e-06,0.01420159308592861,20
llama8b_base_v2,meta-llama/Llama-3.1-8B,8.0,Llama,False,model_internal,16,120,-0.06065257334790761,0.5104947593255001,0.06214915384705478,0.5000976071179375,0.08758879170986436,0.34146526823147116,-0.06647966256450256,0.4706484879894573,0.005827089216594958,12
llama8b_base_v2,meta-llama/Llama-3.1-8B,8.0,Llama,False,e5,16,120,-0.06065257334790761,0.5104947593255001,0.049083719639824025,0.5944639720519602,0.16532556275549712,0.07114768080112271,-0.0698110206242997,0.4486533779332075,0.00915844727639209,12
llama8b_instruct_v3,meta-llama/Llama-3.1-8B-Instruct,8.0,Llama,True,model_internal,16,120,0.36835056388879894,3.48282534052106e-05,-0.055619843551580526,0.5462593396878797,0.08803016764318192,0.33902859999364093,0.3752823808352893,2.4063176462954305e-05,-0.006931816946490366,18
llama8b_instruct_v3,meta-llama/Llama-3.1-8B-Instruct,8.0,Llama,True,e5,16,120,0.36835056388879894,3.48282534052106e-05,-0.08118136343994464,0.37807695707939964,0.16532556275549712,0.07114768080112271,0.38838067657238956,1.1689155854520192e-05,-0.020030112683590617,18
qwen14b_base_v2,Qwen/Qwen2.5-14B,14.0,Qwen,False,model_internal,16,120,0.13416315605782156,0.14403901769495178,0.11643599300373245,0.20535044811157072,0.06005619928470204,0.5146688001956679,0.12827289784128437,0.16264626065973878,0.005890258216537186,24
qwen14b_base_v2,Qwen/Qwen2.5-14B,14.0,Qwen,False,e5,16,120,0.13416315605782156,0.14403901769495178,0.06784613689991187,0.46155607398415827,0.16532556275549712,0.07114768080112271,0.12494983199600065,0.17390414108781777,0.009213324061820904,24
qwen14b_instruct_v3,Qwen/Qwen2.5-14B-Instruct,14.0,Qwen,True,model_internal,16,120,0.6598967881659273,2.4594988753558606e-16,0.10661477812669105,0.24646079616280162,0.06010128872706001,0.5143526070290123,0.6584253246912419,3.017706737365644e-16,0.0014714634746854083,36
qwen14b_instruct_v3,Qwen/Qwen2.5-14B-Instruct,14.0,Qwen,True,e5,16,120,0.6598967881659273,2.4594988753558606e-16,0.13582543510082662,0.13909129671159678,0.16532556275549712,0.07114768080112271,0.6523813228586839,6.908923113345375e-16,0.007515465307243452,36
