items_per_subscale,alpha_target,seed,recovered_slope,recovered_mantel_r,recovered_pearson,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
5,0.75,5,1.275387875583826,0.9968167389147019,0.9968167389147019,1.3181785816130394,0.9819595899850455,120
5,0.75,6,1.2591439917129648,0.9967992113779438,0.9967992113779438,1.2917527743468948,0.9812879016560485,120
5,0.75,7,1.2553348196280727,0.997021695973222,0.997021695973222,1.3530477106515288,0.9811121611381036,120
5,0.75,8,1.2515584153286932,0.9967916203193975,0.9967916203193975,1.2941333902858547,0.9797767836902191,120
5,0.75,9,1.252938667155949,0.9959910118669119,0.9959910118669119,1.1867894312684357,0.9750519251615679,120
5,0.75,10,1.2693837902986236,0.9971693573178654,0.9971693573178654,1.4159209287790224,0.9682059796555692,120
5,0.75,11,1.2693820615609392,0.9971021218985511,0.9971021218985511,1.2714293138564363,0.969148308391308,120
5,0.75,12,1.2919500721283819,0.9957327737869522,0.9957327737869522,1.2094026435887149,0.9698934495850561,120
5,0.75,13,1.248674654815993,0.9965418477747969,0.9965418477747969,1.254461132344405,0.9751579271462699,120
5,0.75,14,1.2768515387512733,0.995744964885101,0.995744964885101,1.2135108856085124,0.9702431030524865,120
5,0.75,15,1.2519622873309078,0.9958023295681121,0.9958023295681121,1.2953342432103179,0.9678922600461995,120
5,0.75,16,1.2499001509503096,0.9968377382453177,0.9968377382453177,1.2759719651066908,0.9833020959183961,120
5,0.75,17,1.2503199594863603,0.9949073438702828,0.9949073438702828,1.261748215464938,0.9727579476481744,120
5,0.75,18,1.2332073450183338,0.9968391364440559,0.9968391364440559,1.119611400597743,0.9641930144826308,120
5,0.75,19,1.2665253650097068,0.9957001215078395,0.9957001215078395,1.2566559306796021,0.9758304035991415,120
5,0.85,0,1.2278668465810276,0.9983075910654631,0.9983075910654631,1.16305613068233,0.9767983187349195,120
5,0.85,1,1.2130667027009203,0.9980185207871779,0.9980185207871779,1.2369708890019409,0.9782125103161711,120
5,0.85,2,1.2377320309366562,0.9981842559720632,0.9981842559720632,1.279447475934737,0.9854586030531793,120
5,0.85,3,1.2216893607830115,0.9983342647137011,0.9983342647137011,1.2459293220372312,0.9802321224072043,120
