label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
IRI_Q15,-0.0094091272839784,-0.0712083491356332,0.025667725881991,-0.0280043336882601,-0.0271873742949785,0.0253659579624366,0.2084365635603257,0.0100764249292796,-0.1949910417736104,0.2156797199878757,IRI
IRI_Q16,-0.0095439938440768,0.0658482229839377,0.0429230438663156,0.0713866408775406,-0.0353377232060037,0.166940898437505,0.0404431279401342,0.6893860912104643,0.0250791163208591,-0.1579862470631306,IRI
IRI_Q17,0.4484396580677976,0.0327083786481521,-0.1466297531996319,0.228858610869262,-0.0650636890342461,-0.1971209909711279,0.0144332921039211,0.0623999014463375,0.0587826195758052,-0.0623557402184112,IRI
IRI_Q18,0.0514708919480142,-0.0853317171017406,-0.0739088120238036,-0.1504517428133018,-0.0066824375290284,0.0383982954135956,0.5509740576968466,0.0514858068070414,-0.0687332472254415,0.1068620349459723,IRI
IRI_Q19,0.2135681606295227,-0.0090418783407524,0.0756734142677883,0.1939963767165979,-0.1071066260017942,-0.3625199603920384,-0.0093787224830191,0.0171508484375484,0.075194207851794,-0.0194729815815972,IRI
IRI_Q20,0.104229058629559,-0.0272985542941669,0.018776099797066,0.0703950569937308,0.1356099557855779,0.0120538590422027,0.4256747281612059,0.3519435709002733,-0.0355530129890601,0.0116714955300528,IRI
IRI_Q21,0.0858598341907465,0.046655819613706,0.0398234590001645,0.0427579933590636,0.0723255355909186,0.3236690111286825,0.1188269624829771,0.1143751007878759,-0.0351926812670871,0.144751337469915,IRI
IRI_Q22,0.098305014715458,0.0476171109250549,-0.0418515109489706,0.2973157762629316,-0.040470200350492,-0.1302212641865864,0.4349548283133754,0.1208525286394608,0.2219693584164028,-0.048696425046916,IRI
IRI_Q23,0.0396731781962198,0.0091709649810542,-0.045488552497232,0.0828696185537708,-0.0846021259922814,0.1082192028649387,0.0095079576910527,0.6561320887804515,0.0344559277538436,-0.1853592411692071,IRI
IRI_Q24,0.3508772298111859,0.0636239404528441,-0.0073910911926875,0.1579549269670541,-0.0582393043503162,-0.1640548091344141,0.018450410360203,0.1209438564000977,0.0592221291097415,-0.1740299789278436,IRI
IRI_Q25,0.0250422144056385,0.0058374364535206,-0.0508290903161525,0.1927580663994967,0.0206399167165431,0.0668969459155314,0.2792775573840365,0.1803844685808904,-0.0115617998178658,0.2794955052042807,IRI
IRI_Q26,0.0636450693568832,0.0023061486506274,0.0246175346112134,-0.0661437182720739,-0.0519621234074162,-0.0107666459915022,-0.1143872703020972,0.6101886019866694,0.0381775010777263,0.1291875278669026,IRI
IRI_Q27,0.2473512322094304,0.0368074211298861,0.0355295703589039,0.1565863933493629,-0.0076323774838469,-0.0733442860634777,0.2972938079130541,0.1236555720858393,-0.0299677332576704,0.0504497904634946,IRI
IRI_Q28,0.0275145262393342,0.0367825363892652,-0.0293617429326576,0.1457333511876186,-0.0861322941674177,0.1560055433831608,0.1619125857942797,0.0787518241170162,0.1100408521038304,0.41610643090056,IRI
PANAS_Q1,0.0725804611357758,-0.0492717689593896,-0.0623022619627534,-0.0186381919828411,0.2561158820220429,0.3317284006007721,-0.1478295395520774,0.1585168732734105,0.3883521311894849,0.0795138227949991,PANAS
PANAS_Q2,0.4553706006288276,0.1014080499822161,-0.1853777173821477,-0.0355540921872219,0.0082042991810843,0.1458925710858369,0.2348962015355589,0.1557955603423187,-0.04697570388363,-0.1477105997856455,PANAS
PANAS_Q3,0.1766437110781122,-0.0520349207353022,-0.0346767425485568,0.1261026926275774,0.3892803475418431,0.3050941325502446,-0.0706735937974538,0.1431112655758285,0.3413690403909141,-0.0342491477328563,PANAS
PANAS_Q4,0.5113808717444502,0.0256397391525109,-0.287336256712309,-0.1430321788103401,0.0169953925588274,0.0958929531953545,0.1397682458150438,0.0770737087960997,0.0510738045163218,-0.0890398866869347,PANAS
PANAS_Q5,-0.23719644949818,0.0421483452044853,0.0314461105479375,0.056187935042621,0.1081804276359317,0.5886355725006065,0.1181429559097742,-0.0288338941805518,0.0465329225996668,-0.0040833163531503,PANAS
PANAS_Q6,0.4127108212873144,0.0491478107200873,-0.0520663436612372,0.2131244296810336,-0.0105878405858323,0.0604095423976948,0.2174811165005288,0.024457898967319,0.1249338388803936,-0.1496704938230866,PANAS
PANAS_Q7,0.4846804253252113,-0.0326494082303562,-0.0292911788490636,-0.031260631819276,0.0502158659751323,0.0697560714655385,0.0786308274336681,0.0118993285868177,0.1102933881405205,-0.1374222582951823,PANAS
